datetime,ADX_14,DMP_14,DMN_14,signal
2022-10-01 00:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 01:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 02:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 03:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 04:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 05:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 06:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 07:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 08:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 09:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 10:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 11:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 12:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 13:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 14:00:00,22.30808715760753,13.88181698465524,23.84258719847101,0
2022-10-01 15:00:00,22.30808715760753,15.388154803477118,21.996202055440445,0
2022-10-01 16:00:00,22.30808715760753,13.422387871947905,26.28325714401538,0
2022-10-01 17:00:00,22.30808715760753,12.30051718486168,24.144815998215265,0
2022-10-01 18:00:00,22.30808715760753,10.926855240958687,25.52458286639689,0
2022-10-01 19:00:00,22.30808715760753,11.63046915144776,22.387837600335835,0
2022-10-01 20:00:00,22.30808715760753,10.665988469360194,21.833526553988698,0
2022-10-01 21:00:00,22.30808715760753,13.781291603868699,20.18488734409096,0
2022-10-01 22:00:00,22.30808715760753,14.998902821719538,18.87753679152282,0
2022-10-01 23:00:00,22.30808715760753,14.619946451178437,17.86459954522822,0
2022-10-02 00:00:00,22.30808715760753,13.208510661291559,21.919996224760617,0
2022-10-02 01:00:00,22.30808715760753,12.469858197561633,20.69417602204694,0
2022-10-02 02:00:00,22.30808715760753,15.648937515405995,19.712684067907688,0
2022-10-02 03:00:00,22.30808715760753,14.857234629538587,20.803117186922172,0
2022-10-02 04:00:00,21.44864300994827,14.89560969697817,19.840170718360888,0
2022-10-02 05:00:00,19.848514248603426,19.87622700258083,17.664647346325037,0
2022-10-02 06:00:00,18.11074120102043,17.54354415667791,18.414371229366676,0
2022-10-02 07:00:00,17.798296440814408,15.968118089769265,21.554855397673826,0
2022-10-02 08:00:00,17.523179514543486,15.141742437371052,20.439357153518543,0
2022-10-02 09:00:00,17.91196736172638,14.115869249969961,21.953738530916322,0
2022-10-02 10:00:00,20.885177554579716,11.237373878861696,34.40339543071021,0
2022-10-02 11:00:00,23.325293025955304,10.141150639299811,29.132172740710736,0
2022-10-02 12:00:00,25.510645134491998,9.218496042608084,26.481691148743185,-1
2022-10-02 13:00:00,27.54217536807572,8.683750930462946,25.469955552183283,-1
2022-10-02 14:00:00,29.932234852039183,7.89803249057489,27.804053228916395,-1
2022-10-02 15:00:00,32.09114694719104,7.497950594993341,26.39561405954734,-1
2022-10-02 16:00:00,32.076697670609335,12.500708088295157,24.220831362696504,-1
2022-10-02 17:00:00,32.06358826075645,11.874847504350564,23.00819096239194,-1
2022-10-02 18:00:00,32.35094165823924,11.118872493507114,23.421183423287243,-1
2022-10-02 19:00:00,29.922235447296774,20.16586248016243,21.00157241651328,-1
2022-10-02 20:00:00,27.70727561166355,19.350466095415356,20.1523845258751,-1
2022-10-02 21:00:00,27.356095636236663,17.28518418528655,27.757457656279534,-1
2022-10-02 22:00:00,26.007775909340843,19.863694834481965,24.33470888147929,-1
2022-10-02 23:00:00,26.842022390046946,16.259070881498005,35.15072978970462,-1
2022-10-03 00:00:00,27.606683112924692,14.536821341768302,31.427372616179326,-1
2022-10-03 01:00:00,26.58868051917456,21.110046881677746,28.180085299994047,-1
2022-10-03 02:00:00,25.65379488147457,19.657005785239917,26.240401211582366,-1
2022-10-03 03:00:00,24.794514142814503,18.73606471810138,25.01102460367173,0
2022-10-03 04:00:00,24.42830321832997,17.762761695260007,26.617757068540172,0
2022-10-03 05:00:00,22.697736446498112,22.33672063483284,22.994211002143352,0
2022-10-03 06:00:00,21.179304531030276,21.897774351325562,20.84703558217862,0
2022-10-03 07:00:00,19.639329304276067,20.643627547818856,20.406032882364546,0
2022-10-03 08:00:00,18.219196649613007,19.881958394807395,19.653130043663758,0
2022-10-03 09:00:00,17.283245751920063,18.973510995352214,21.232494138924174,0
2022-10-03 10:00:00,16.059775959680685,20.158947205781512,19.852943459958542,0
2022-10-03 11:00:00,15.212394168149894,20.72572482968763,18.907050004533275,0
2022-10-03 12:00:00,14.75421561329332,21.20342038371182,17.703757881561184,0
2022-10-03 13:00:00,14.947159043228673,21.944165490974456,15.446304623937626,0
2022-10-03 14:00:00,16.417062600946245,26.510717139107864,12.7699927485867,0
2022-10-03 15:00:00,17.81143330223971,24.28825455756699,11.572625445482378,0
2022-10-03 16:00:00,18.862803615988454,22.801261993357805,11.695269191090262,0
2022-10-03 17:00:00,21.01203350293626,30.15029577186763,10.507076180645832,0
2022-10-03 18:00:00,23.24688619019398,31.029498104985908,9.88385641497241,0
2022-10-03 19:00:00,23.852238222969177,27.860058228260147,14.491116064484588,0
2022-10-03 20:00:00,24.412799942685115,26.473027138719317,13.769666441554639,0
2022-10-03 21:00:00,24.931989631774385,25.393910347132813,13.208375199953712,0
