datetime,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,signal
2022-10-01 00:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,0
2022-10-01 01:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 02:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 03:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 04:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 05:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 06:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 07:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 08:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 09:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 10:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 11:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 12:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 13:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 14:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 15:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 16:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 17:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 18:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 19:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 20:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 21:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 22:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-01 23:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-02 00:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-02 01:00:00,-23.872843072695105,-0.3427746436637875,-17.008478889006156,-1
2022-10-02 02:00:00,-21.016534539485292,-0.3427746436637875,-17.008478889006156,-1
2022-10-02 03:00:00,-19.025790993073315,-0.3427746436637875,-17.008478889006156,-1
2022-10-02 04:00:00,-15.199131052231678,-0.3427746436637875,-17.008478889006156,1
2022-10-02 05:00:00,-12.346914505393215,-0.3427746436637875,-17.008478889006156,1
2022-10-02 06:00:00,-14.03994240168322,-0.3427746436637875,-17.008478889006156,1
2022-10-02 07:00:00,-14.839437848619127,-0.3427746436637875,-17.008478889006156,1
2022-10-02 08:00:00,-15.384462055204494,-0.3427746436637875,-17.008478889006156,1
2022-10-02 09:00:00,-17.351253532669944,-0.3427746436637875,-17.008478889006156,-1
2022-10-02 10:00:00,-31.36225821122207,-11.483023457772731,-19.87923475344934,-1
2022-10-02 11:00:00,-35.137691982610704,-12.20676578332909,-22.930926199281615,-1
2022-10-02 12:00:00,-40.08040856152729,-13.71958588979654,-26.36082267173075,-1
2022-10-02 13:00:00,-43.416378433204954,-13.64444460917936,-29.771933824025595,-1
2022-10-02 14:00:00,-50.00249296590482,-16.184447313503384,-33.81804565240144,-1
2022-10-02 15:00:00,-51.282183919262025,-13.97131061348847,-37.310873305773555,-1
2022-10-02 16:00:00,-47.40066333947834,-8.071832026963826,-39.32883131251452,-1
2022-10-02 17:00:00,-43.98692883008334,-3.7264780140550613,-40.26045081602828,-1
2022-10-02 18:00:00,-39.215633373092714,0.8358539543484582,-40.05148732744117,1
2022-10-02 19:00:00,-31.496633988008398,6.843882671546218,-38.340516659554616,1
2022-10-02 20:00:00,-27.507142914360884,8.666698996154992,-36.173841910515875,1
2022-10-02 21:00:00,-26.732389020027767,7.553162312390491,-34.28555133241826,0
2022-10-02 22:00:00,-28.078295353298017,4.965804783296193,-33.04410013659421,0
2022-10-02 23:00:00,-37.76322714884009,-3.775301609796699,-33.98792553904339,-1
2022-10-03 00:00:00,-42.16067254821246,-6.538197607335256,-35.622474940877204,-1
2022-10-03 01:00:00,-35.002424099879136,0.49604067279845765,-35.49846477267759,1
2022-10-03 02:00:00,-35.50462347397843,-0.004926961040666811,-35.49969651293776,-1
2022-10-03 03:00:00,-33.09233382720049,1.925890148589815,-35.018223975790306,1
2022-10-03 04:00:00,-36.36142502898656,-1.0745608425569984,-35.28686418642956,-1
2022-10-03 05:00:00,-26.917420414669323,6.695555017408196,-33.61297543207752,1
2022-10-03 06:00:00,-23.05653451554099,8.445152733229225,-31.501687248770214,1
2022-10-03 07:00:00,-19.537532349375397,9.571323919515855,-29.10885626889125,1
2022-10-03 08:00:00,-16.749282420340023,9.887659078840986,-26.63694149918101,1
2022-10-03 09:00:00,-15.706074841516966,8.744693326131237,-24.450768167648203,0
2022-10-03 10:00:00,-10.354204802933964,11.277250691771393,-21.631455494705357,1
2022-10-03 11:00:00,-4.846566398882715,13.427911276658115,-18.27447767554083,1
2022-10-03 12:00:00,-0.04546432849019766,14.583210677640507,-14.628675006130704,1
2022-10-03 13:00:00,-2.3141682411005604,9.851605412024115,-12.165773653124676,0
2022-10-03 14:00:00,14.784871921281592,21.560516459525015,-6.775644538243423,1
2022-10-03 15:00:00,21.894548721767933,22.936154608009083,-1.0416058862411521,1
