datetime,EMA_5,EMA_10,signal
2022-09-01 00:00:00,20069.18,20008.07,1
2022-09-01 01:00:00,20069.18,20008.07,1
2022-09-01 02:00:00,20069.18,20008.07,1
2022-09-01 03:00:00,20069.18,20008.07,1
2022-09-01 04:00:00,20069.18,20008.07,1
2022-09-01 05:00:00,20056.353333333333,20008.07,1
2022-09-01 06:00:00,20029.50222222222,20008.07,1
2022-09-01 07:00:00,19981.568148148148,20008.07,-1
2022-09-01 08:00:00,19960.012098765434,20008.07,-1
2022-09-01 09:00:00,19948.57473251029,20008.07,-1
2022-09-01 10:00:00,19969.349821673528,20008.584545454545,-1
2022-09-01 11:00:00,19999.866547782352,20018.09644628099,-1
2022-09-01 12:00:00,19995.977698521572,20012.660728775354,-1
2022-09-01 13:00:00,19985.318465681048,20003.813323543473,-1
2022-09-01 14:00:00,19885.312310454035,19945.90181017193,-1
2022-09-01 15:00:00,19848.808206969356,19914.97420832249,-1
2022-09-01 16:00:00,19781.37213797957,19866.160715900216,-1
2022-09-01 17:00:00,19759.41475865305,19838.767858463812,-1
2022-09-01 18:00:00,19773.343172435365,19831.93733874312,-1
2022-09-01 19:00:00,19801.36211495691,19836.566913517097,-1
2022-09-01 20:00:00,19887.708076637944,19877.26383833217,1
2022-09-01 21:00:00,19949.672051091962,19912.96132227177,1
2022-09-01 22:00:00,19988.881367394642,19941.022900040538,1
2022-09-01 23:00:00,20033.42091159643,19974.018736396803,1
2022-09-02 00:00:00,20044.013941064288,19990.59714796102,1
2022-09-02 01:00:00,20043.475960709526,20000.015848331743,1
2022-09-02 02:00:00,20036.983973806353,20004.376603180517,1
2022-09-02 03:00:00,20073.022649204235,20029.962675329512,1
2022-09-02 04:00:00,20099.21509946949,20052.078552542327,1
2022-09-02 05:00:00,20104.443399646327,20063.500633898268,1
2022-09-02 06:00:00,20101.89559976422,20069.555064098582,1
2022-09-02 07:00:00,20101.430399842815,20075.181416080657,1
2022-09-02 08:00:00,20096.720266561875,20077.38479497508,1
2022-09-02 09:00:00,20105.513511041252,20085.696650434154,1
2022-09-02 10:00:00,20090.109007360836,20080.897259446127,1
2022-09-02 11:00:00,20087.53933824056,20081.170485001374,1
2022-09-02 12:00:00,20149.026225493708,20115.86676045567,1
2022-09-02 13:00:00,20185.150816995807,20141.600076736453,1
2022-09-02 14:00:00,20241.433877997206,20180.21824460255,1
2022-09-02 15:00:00,20275.88925199814,20210.142200129358,1
2022-09-02 16:00:00,20224.22616799876,20193.91634556038,1
2022-09-02 17:00:00,20079.917445332507,20120.713373640312,-1
2022-09-02 18:00:00,20028.744963555007,20085.383669342074,-1
2022-09-02 19:00:00,19985.596642370005,20051.55027491624,-1
2022-09-02 20:00:00,19976.06442824667,20034.35931584056,-1
2022-09-02 21:00:00,19971.376285497783,20021.20307659682,-1
2022-09-02 22:00:00,19973.61752366519,20013.366153579213,-1
2022-09-02 23:00:00,19962.745015776796,20000.208671110264,-1
2022-09-03 00:00:00,19972.430010517863,19998.679821817488,-1
2022-09-03 01:00:00,19963.486673678577,19989.0289451234,-1
2022-09-03 02:00:00,19952.79111578572,19978.550955100964,-1
2022-09-03 03:00:00,19931.960743857147,19962.505326900788,-1
2022-09-03 04:00:00,19926.2738292381,19953.849812918827,-1
2022-09-03 05:00:00,19929.34921949207,19950.51348329722,-1
2022-09-03 06:00:00,19912.032812994716,19937.220122697727,-1
2022-09-03 07:00:00,19877.421875329812,19913.761918570865,-1
2022-09-03 08:00:00,19842.81458355321,19888.27793337616,-1
2022-09-03 09:00:00,19824.44305570214,19869.991036398675,-1
2022-09-03 10:00:00,19829.462037134763,19864.447211598916,-1
2022-09-03 11:00:00,19816.30802475651,19850.91135494457,-1
2022-09-03 12:00:00,19825.305349837672,19849.52747222737,-1
2022-09-03 13:00:00,19833.670233225115,19849.686113640575,-1
2022-09-03 14:00:00,19824.913488816746,19841.99772934229,-1
2022-09-03 15:00:00,19804.7089925445,19827.870869461873,-1
2022-09-03 16:00:00,19796.672661696335,19819.27616592335,-1
2022-09-03 17:00:00,19800.481774464224,19817.244135755467,-1
2022-09-03 18:00:00,19781.32118297615,19803.745201981743,-1
2022-09-03 19:00:00,19755.180788650767,19785.409710712334,-1
2022-09-03 20:00:00,19748.753859100514,19776.40794512827,-1
2022-09-03 21:00:00,19745.73590606701,19769.733773286767,-1
2022-09-03 22:00:00,19758.75727071134,19772.473087234626,-1
2022-09-03 23:00:00,19779.404847140893,19781.24161682833,-1
2022-09-04 00:00:00,19784.56989809393,19783.72495922318,1
2022-09-04 01:00:00,19779.74659872929,19781.24769390987,-1
2022-09-04 02:00:00,19780.66439915286,19781.475385926256,-1
2022-09-04 03:00:00,19775.776266101908,19778.66167939421,-1
2022-09-04 04:00:00,19781.95084406794,19781.505010413443,1
2022-09-04 05:00:00,19774.23389604529,19777.376826701908,-1
2022-09-04 06:00:00,19747.155930696863,19762.03558548338,-1
2022-09-04 07:00:00,19704.270620464576,19735.93820630458,-1
2022-09-04 08:00:00,19710.91374697639,19733.803986976476,-1
2022-09-04 09:00:00,19728.84249798426,19739.42144388984,-1
2022-09-04 10:00:00,19735.894998656175,19741.34481772805,-1
2022-09-04 11:00:00,19771.596665770783,19759.827578141132,1
2022-09-04 12:00:00,19803.26444384719,19779.240745751835,1
2022-09-04 13:00:00,19769.642962564794,19765.269701069683,1
2022-09-04 14:00:00,19760.09530837653,19760.857028147922,-1
2022-09-04 15:00:00,19767.263538917687,19764.62847757557,1
2022-09-04 16:00:00,19805.47569261179,19785.95057256183,1
2022-09-04 17:00:00,19813.550461741193,19793.905013914224,1
2022-09-04 18:00:00,19822.36697449413,19802.28592047527,1
2022-09-04 19:00:00,19839.144649662754,19815.08848038886,1
2022-09-04 20:00:00,19857.496433108503,19829.472393045427,1
2022-09-04 21:00:00,19854.564288739006,19832.968321582623,1
2022-09-04 22:00:00,19844.84285915934,19831.592263113052,1
2022-09-04 23:00:00,19894.128572772897,19860.884578910678,1
2022-09-05 00:00:00,19898.219048515268,19869.160110017827,1
2022-09-05 01:00:00,19876.079365676847,19862.367362741858,1
2022-09-05 02:00:00,19864.752910451232,19858.68238769788,1
2022-09-05 03:00:00,19867.135273634158,19861.08558993463,1
2022-09-05 04:00:00,19870.75684908944,19864.160937219243,1
2022-09-05 05:00:00,19817.837899392962,19836.495312270286,-1
2022-09-05 06:00:00,19802.558599595308,19824.768891857508,-1
2022-09-05 07:00:00,19781.70573306354,19809.356366065233,-1
2022-09-05 08:00:00,19777.00382204236,19801.764299507915,-1
2022-09-05 09:00:00,19769.60254802824,19793.22533596102,-1
2022-09-05 10:00:00,19741.83503201883,19773.784365786287,-1
2022-09-05 11:00:00,19725.523354679222,19759.078117461504,-1
2022-09-05 12:00:00,19722.31556978615,19751.22755065032,-1
2022-09-05 13:00:00,19725.210379857435,19747.549814168444,-1
2022-09-05 14:00:00,19761.673586571625,19763.37712068327,-1
2022-09-05 15:00:00,19790.48239104775,19778.78128055904,1
2022-09-05 16:00:00,19806.7882606985,19789.80286591194,1
2022-09-05 17:00:00,19810.15884046567,19794.729617564313,1
2022-09-05 18:00:00,19783.839226977114,19783.178778007165,1
2022-09-05 19:00:00,19756.192817984745,19768.21900018768,-1
2022-09-05 20:00:00,19747.161878656498,19761.10645469901,-1
2022-09-05 21:00:00,19745.874585771,19757.868917481006,-1
2022-09-05 22:00:00,19761.816390514,19764.383659757186,-1
2022-09-05 23:00:00,19769.510927009334,19768.113903437697,1
2022-09-06 00:00:00,19877.540618006224,19827.29319372175,1
2022-09-06 01:00:00,19839.36041200415,19815.603522135978,1
2022-09-06 02:00:00,19828.206941336102,19813.83924538398,1
2022-09-06 03:00:00,19812.204627557403,19807.723018950528,1
2022-09-06 04:00:00,19792.836418371604,19797.973379141342,-1
