datetime,STOCHk_14_3_3,STOCHd_14_3_3,signal
2022-09-01 13:00:00,24.22629685654294,20.472349631421093,0
2022-09-01 14:00:00,24.22629685654294,20.472349631421093,0
2022-09-01 15:00:00,24.22629685654294,20.472349631421093,0
2022-09-01 16:00:00,14.999162834773736,20.472349631421093,0
2022-09-01 17:00:00,22.1915892029466,20.472349631421093,0
2022-09-01 18:00:00,28.622583433025795,21.937778490248707,0
2022-09-01 19:00:00,41.660020127692825,30.82473092122174,0
2022-09-01 20:00:00,62.39952891405239,44.22737749159034,0
2022-09-01 21:00:00,76.95324282120032,60.337597287648514,0
2022-09-01 22:00:00,86.6783180048988,75.3436965800505,0
2022-09-01 23:00:00,87.30923019513057,83.6469303404099,0
2022-09-02 00:00:00,86.03896103896103,86.67550307966347,-1
2022-09-02 01:00:00,84.69155844155856,86.01324989188338,-1
2022-09-02 02:00:00,79.36147186147197,83.36399711399719,0
2022-09-02 03:00:00,79.4652783114322,81.17276953815424,0
2022-09-02 04:00:00,80.1475087793768,79.65808631742699,0
2022-09-02 05:00:00,80.16101115002209,79.92459941361038,0
2022-09-02 06:00:00,76.12858784647116,78.81236925862335,0
2022-09-02 07:00:00,71.77469217623188,76.02143039090838,0
2022-09-02 08:00:00,66.7196462686593,71.54097543045411,0
2022-09-02 09:00:00,64.2686425977207,67.5876603475373,0
2022-09-02 10:00:00,52.42037489262242,61.136221253000805,0
2022-09-02 11:00:00,45.188460376348935,53.959159288897354,0
2022-09-02 12:00:00,49.8609186872427,49.15658465207135,0
2022-09-02 13:00:00,62.02952743712984,52.35963550024049,0
2022-09-02 14:00:00,76.7545155939989,62.88165390612382,0
2022-09-02 15:00:00,78.05328822572505,72.27911041895128,0
2022-09-02 16:00:00,65.4691921529389,73.42566532422096,0
2022-09-02 17:00:00,39.88237093095067,61.13495043653821,0
2022-09-02 18:00:00,21.771274723934237,42.3742792692746,0
2022-09-02 19:00:00,19.127357565279677,26.927001073388197,0
2022-09-02 20:00:00,27.433290371855517,22.77730755368981,0
2022-09-02 21:00:00,29.132655496682407,25.231101144605862,0
2022-09-02 22:00:00,32.89417155950161,29.820039142679843,0
2022-09-02 23:00:00,32.130411952837804,31.385746336340606,0
2022-09-03 00:00:00,33.55291422024911,32.859165910862835,0
2022-09-03 01:00:00,32.00152751921326,32.561617897433386,0
2022-09-03 02:00:00,31.543271755215045,32.3659044982258,0
2022-09-03 03:00:00,26.698171750441542,30.08099034162328,0
2022-09-03 04:00:00,25.826529929540897,28.022657811732497,0
2022-09-03 05:00:00,27.02126763189331,26.515323103958583,0
2022-09-03 06:00:00,31.89818516755366,28.248660909662618,0
2022-09-03 07:00:00,30.057505434087915,29.658986077844958,0
2022-09-03 08:00:00,23.138666431987037,28.364785677876203,0
2022-09-03 09:00:00,19.205725112669125,24.13396565958136,0
2022-09-03 10:00:00,25.164083741892103,22.502825095516087,0
2022-09-03 11:00:00,30.089677542454094,24.81982879900511,0
2022-09-03 12:00:00,35.39400877695116,30.21592335376579,0
2022-09-03 13:00:00,36.43388666285093,33.97252432741873,0
2022-09-03 14:00:00,39.85931173194194,37.22906905724801,0
2022-09-03 15:00:00,34.50749498030479,36.933564458365886,0
2022-09-03 16:00:00,30.596503040164908,34.98776991747055,0
2022-09-03 17:00:00,32.59052990888566,32.56484264311845,0
2022-09-03 18:00:00,29.830024652912954,31.005685867321176,0
2022-09-03 19:00:00,27.400134723712938,29.940229761837184,0
2022-09-03 20:00:00,26.464643289482925,27.89826755536961,0
2022-09-03 21:00:00,34.909626827389786,29.59146828019522,0
2022-09-03 22:00:00,46.572359599319476,35.982209905397404,0
2022-09-03 23:00:00,57.68312602085687,46.38837081585538,0
2022-09-04 00:00:00,64.61867068727236,56.29138543581624,0
2022-09-04 01:00:00,62.77170498806381,61.69116723206435,0
2022-09-04 02:00:00,57.97210704862408,61.78749424132008,0
2022-09-04 03:00:00,57.403742560560424,59.382518199082774,0
2022-09-04 04:00:00,64.82017330095157,60.06534097004536,0
2022-09-04 05:00:00,65.2802008784172,62.501372246643065,0
2022-09-04 06:00:00,54.74452554744452,61.61496657560443,0
2022-09-04 07:00:00,32.04960598467472,50.69144413684548,0
2022-09-04 08:00:00,30.761404545133207,39.18517869241749,0
2022-09-04 09:00:00,44.33714837113454,35.71605296698083,0
2022-09-04 10:00:00,63.44008636200056,46.179546426089445,0
2022-09-04 11:00:00,77.39786220168658,61.72503231160723,0
2022-09-04 12:00:00,81.5071008033684,74.11501645568518,0
2022-09-04 13:00:00,72.17585988270707,77.02694096258735,0
2022-09-04 14:00:00,55.55555555555555,69.74617208054369,0
2022-09-04 15:00:00,47.68518518518518,58.472200207815945,0
2022-09-04 16:00:00,64.30555555555556,55.848765432098766,0
2022-09-04 17:00:00,71.39771657250486,61.129485771081875,0
2022-09-04 18:00:00,75.63986974262436,70.44771395689493,0
2022-09-04 19:00:00,73.4816384180795,73.50640824440292,0
2022-09-04 20:00:00,79.17549435028292,76.09900083699559,0
2022-09-04 21:00:00,79.94350282485925,77.53354519774057,0
2022-09-04 22:00:00,73.68143869592289,77.60014529035503,0
2022-09-04 23:00:00,75.86474690014435,76.49656280697549,0
2022-09-05 00:00:00,73.33981055294838,74.29533204967187,0
2022-09-05 01:00:00,68.97353694639456,72.72603146649577,0
2022-09-05 02:00:00,55.09025270758099,65.80120006897465,0
2022-09-05 03:00:00,52.32250300842335,58.7954308874663,0
2022-09-05 04:00:00,54.650727685889514,54.02116113396462,0
2022-09-05 05:00:00,41.604251950450475,49.52582754825445,0
