datetime,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,signal
2022-09-01 00:00:00,27.319396532588144,5.562052648202858,42.12300680695504,0
2022-09-01 01:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 02:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 03:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 04:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 05:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 06:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 07:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 08:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 09:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 10:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 11:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 12:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 13:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 14:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 15:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 16:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 17:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 18:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 19:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 20:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 21:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 22:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-01 23:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-02 00:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-02 01:00:00,27.319396532588144,5.562052648202858,42.12300680695504,-1
2022-09-02 02:00:00,28.044486086419056,5.562052648202858,42.12300680695504,-1
2022-09-02 03:00:00,37.95337977005693,5.562052648202858,42.12300680695504,-1
2022-09-02 04:00:00,45.802759382368095,5.562052648202858,42.12300680695504,1
2022-09-02 05:00:00,48.502954128398414,5.562052648202858,42.12300680695504,1
2022-09-02 06:00:00,48.6218764607147,5.562052648202858,42.12300680695504,1
2022-09-02 07:00:00,48.45611046511476,5.562052648202858,42.12300680695504,1
2022-09-02 08:00:00,46.72103898177738,5.562052648202858,42.12300680695504,1
2022-09-02 09:00:00,47.6850594551579,5.562052648202858,42.12300680695504,1
2022-09-02 10:00:00,42.80746798039763,0.5475689387540683,42.259899041643564,0
2022-09-02 11:00:00,40.340893828033586,-1.5352041708879867,41.87609799892157,-1
2022-09-02 12:00:00,53.073453750504996,8.957884601266741,44.115569149238254,1
2022-09-02 13:00:00,61.27960806297415,13.73123113098871,47.54837693198544,1
2022-09-02 14:00:00,74.71657103641337,21.734555283542342,52.98201575287103,1
2022-09-02 15:00:00,83.65873210065911,24.541373078230464,59.117359022428644,1
2022-09-02 16:00:00,71.85035422107103,10.186396158913908,61.66395806215712,0
2022-09-02 17:00:00,35.48709116189275,-20.941493520211502,56.42858468210425,-1
2022-09-02 18:00:00,17.37015182878895,-31.246746282652246,48.616898111441195,-1
2022-09-02 19:00:00,0.8161947805856471,-38.24056266468444,39.05675744527009,-1
2022-09-02 20:00:00,-7.5598820495542896,-37.29331159585951,29.733429546305214,-1
2022-09-02 21:00:00,-13.637322505652264,-34.696601641565984,21.05927913591372,-1
2022-09-02 22:00:00,-16.95910836150142,-30.414709997932114,13.455601636430693,-1
2022-09-02 23:00:00,-22.327925104844326,-28.626821393020016,6.29889628817569,-1
2022-09-03 00:00:00,-22.227392067801702,-22.821030684781913,0.5936386169802121,-1
2022-09-03 01:00:00,-25.580793340006494,-20.939545565589363,-4.641247774417129,-1
2022-09-03 02:00:00,-29.049346549396432,-19.52647901998344,-9.522867529412991,-1
2022-09-03 03:00:00,-34.714459786959196,-20.153273806036964,-14.561185980922232,-1
2022-09-03 04:00:00,-36.79493927751173,-17.7870026372716,-19.007936640240132,-1
2022-09-03 05:00:00,-36.36232418574582,-13.883510036404548,-22.47881414934127,-1
2022-09-03 06:00:00,-40.243753111735714,-14.211951169915555,-26.03180194182016,-1
2022-09-03 07:00:00,-48.346368331676786,-17.851653111885298,-30.494715219791487,-1
2022-09-03 08:00:00,-56.90372933497565,-21.12721129214733,-35.77651804282832,-1
2022-09-03 09:00:00,-61.8349525787562,-20.846747628742307,-40.988204950013895,-1
2022-09-03 10:00:00,-60.86158101671754,-15.89870085336291,-44.962880163354626,-1
2022-09-03 11:00:00,-63.3541066474063,-14.71298118724134,-48.64112546016496,-1
2022-09-03 12:00:00,-60.33310414555672,-9.353582948313402,-50.979521197243315,-1
2022-09-03 13:00:00,-56.71228333475665,-4.586209710010664,-52.126073624745985,-1
2022-09-03 14:00:00,-56.65936351620985,-3.6266319131710887,-53.03273160303876,-1
2022-09-03 15:00:00,-59.410388005766436,-5.10212512218213,-54.308262883584305,-1
2022-09-03 16:00:00,-59.58842271404501,-4.224127864368555,-55.364294849676455,-1
2022-09-03 17:00:00,-56.85510605854506,-1.1926489670948826,-55.66245709145018,-1
2022-09-03 18:00:00,-59.258859606987244,-2.877122012429645,-56.3817375945576,-1
